Cephalorhynchus heavisidii
Cephalorhynchus hectori
Ceratotherium simum
Cercartetus concinnus
Cercocebus atys
Cercocebus chrysogaster
Cercocebus torquatus
Cercopithecus albogularis
Cercopithecus ascanius
Cercopithecus campbelli
Cercopithecus cephus
Cercopithecus denti
Cercopithecus diana
Cercopithecus doggetti
Cercopithecus dryas
Cercopithecus erythrogaster
Cercopithecus erythrotis
Cercopithecus hamlyni
Cercopithecus kandti
Cercopithecus mitis
Cercopithecus mona
Cercopithecus neglectus
Cercopithecus nictitans
Cercopithecus petaurista
Cercopithecus pogonias
Cercopithecus roloway
Cercopithecus wolfi
Cerdocyon thous
Cerradomys akroai
Cerradomys goytaca
Cerradomys langguthi
Cerradomys maracajuensis
Cerradomys marinhus
Cerradomys scotti
Cerradomys subflavus
Cerradomys vivoi
Cervus canadensis
Cervus elaphus
Cervus hanglu
Cervus nippon
Chacodelphys formosa
Chaerephon atsinanana
Chaerephon bivittatus
Chaerephon jobimena
Chaerephon leucogaster
Chaerephon plicatus
Chaerephon pumilus
Chaerephon pusillus
Chaeropus ecaudatus
Chaetodipus arenarius
Chaetodipus artus
Chaetodipus baileyi
Chaetodipus californicus
Chaetodipus dalquesti
Chaetodipus eremicus
Chaetodipus fallax
Chaetodipus formosus
Chaetodipus goldmani
Chaetodipus hispidus
Chaetodipus intermedius
Chaetodipus nelsoni
Chaetodipus penicillatus
Chaetodipus pernix
Chaetodipus rudinoris
Chaetodipus spinatus
Chaetomys subspinosus
Chalinolobus neocaledonicus
Chalinolobus tuberculatus
Cheirogaleus crossleyi
Cheirogaleus lavasoensis
Cheirogaleus major
Cheirogaleus medius
Cheirogaleus sibreei
Chelemys macronyx
Chelemys megalonyx
Cheracebus lucifer
Cheracebus lugens
Cheracebus purinus
Cheracebus torquatus
Chilomys instans
Chilonatalus micropus
Chilonatalus tumidifrons
Chimaerodipus auritus
Chimarrogale himalayica
Chimarrogale phaeura
Chimarrogale platycephalus
Chimarrogale styani
Chimarrogale varennei
Chinchilla chinchilla
Chinchilla lanigera
Chinchillula sahamae
Chionomys gud
Chionomys nivalis
Chionomys roberti
Chiroderma doriae
Chiroderma improvisum
Chiroderma salvini
Chiroderma trinitatum
Chiroderma villosum
Chiromyscus chiropus
Chiromyscus langbianis
Chironax melanocephalus
Chironectes minimus
Chiropodomys gliroides
Chiropotes albinasus
Chiropotes chiropotes
Chiropotes israelita
Chiropotes utahickae
Chiruromys vates
Chlorocebus aethiops
Chlorocebus cynosuros
Chlorocebus djamdjamensis
Chlorocebus pygerythrus
Chlorocebus sabaeus
Chlorocebus tantalus
Chodsigoa caovansunga
Chodsigoa furva
Chodsigoa hoffmanni
Chodsigoa hypsibia
Chodsigoa parca
Chodsigoa parva
Chodsigoa smithii
Chodsigoa sodalis
Choeroniscus minor
Choeronycteris mexicana
Choloepus didactylus
Choloepus hoffmanni
Chrotogale owstoni
Chrotomys gonzalesi
Chrotomys mindorensis
Chrotomys sibuyanensis
Chrotomys silaceus
Chrotomys whiteheadi
Chrotopterus auritus
Chrysochloris asiatica
Chrysocyon brachyurus
Cistugo lesueuri
Cistugo seabrae
Civettictis civetta
Clyomys laticeps
Coccymys ruemmleri
Coelodonta antiquitatis
Coelops frithii
Coendou bicolor
Coendou ichillus
Coendou insidiosus
Coendou melanurus
Coendou mexicanus
Coendou nycthemera
Coendou prehensilis
Coendou pruinosus
Coendou quichua
Coendou rufescens
Coendou speratus
Coendou spinosus
Coendou vestitus
Coendou villosus
Coleura afra
Coleura kibomalandy
Coleura seychellensis
Colobus angolensis
Colobus guereza
Colobus polykomos
Colobus satanas
Colomys goslingi
Condylura cristata
Conepatus chinga
Conepatus leuconotus
Conepatus mesoleucus
Conepatus semistriatus
Congosorex phillipsorum
Conilurus penicillatus
Connochaetes gnou
Connochaetes taurinus
Cormura brevirostris
Corynorhinus mexicanus
Corynorhinus rafinesquii
Corynorhinus townsendii
Craseonycteris thonglongyai
Crateromys australis
Crateromys heaneyi
Crateromys schadenbergi
Cratogeomys castanops
Cratogeomys fulvescens
