"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv" "harmMeans_NetDiv_sub" "arithMeans_NetDiv_sub"
"Abrothrix_jelskii_CRICETIDAE_RODENTIA" 0.191548778193792 0.199710436128803 0.000771222533629942 0.0074963384254223 0.193533287840105 0.192214097703381 0.190777555660162 0.192214097703381
"Abrothrix_lanosus_CRICETIDAE_RODENTIA" 0.198774388442583 0.199766837777685 0.000770927463835509 0.0075232267455223 0.191551693252419 0.192243611032163 0.198003460978748 0.192243611032163
"Abrothrix_longipilis_CRICETIDAE_RODENTIA" 0.196494983629691 0.199645505044972 0.00077105429269033 0.0076809212884723 0.191831504294834 0.1919645837565 0.195723929337 0.1919645837565
"Abrothrix_manni_CRICETIDAE_RODENTIA" 0.198324732835047 0.199779603333579 0.000770454817098664 0.0074943528300223 0.192182326092229 0.192285250503557 0.197554278017949 0.192285250503557
"Abrothrix_markhami_CRICETIDAE_RODENTIA" 0.199006402329874 0.199883009799288 0.000770483141480429 0.0073836164161223 0.191245166930748 0.192499393383166 0.198235919188394 0.192499393383166
"Abrothrix_olivaceus_CRICETIDAE_RODENTIA" 0.198935996512308 0.199867944553129 0.000770492504155847 0.0073972483361223 0.191292507450518 0.192470696217007 0.198165504008152 0.192470696217007
"Abrothrix_sanborni_CRICETIDAE_RODENTIA" 0.198809452144568 0.199748384184919 0.000770540144946524 0.0074705338960223 0.19163429342815 0.192277850288897 0.198038911999621 0.192277850288897
"Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA" 0.236490976093132 0.282363770214239 0.00914884967891971 0.064857373821347 0.178530420923194 0.217506396392892 0.227342126414213 0.217506396392892
"Acerodon_humilis_PTEROPODIDAE_CHIROPTERA" 0.234555447903795 0.282478152306462 0.00914829465337007 0.064856705860347 0.176580346403142 0.217621446446115 0.225407153250425 0.217621446446115
"Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA" 0.237684901807363 0.282724978548762 0.0091371075782682 0.064910744117247 0.177963929991528 0.217814234431515 0.228547794229095 0.217814234431515
"Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA" 0.237490339540989 0.282581218777406 0.00914722648054323 0.064737708508347 0.178353070011977 0.217843510269059 0.228343113060446 0.217843510269059
"Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA" 0.237968698729594 0.282790915833435 0.00913825144853963 0.064863224538247 0.178051212882893 0.217927691295187 0.228830447281054 0.217927691295187
"Acinonyx_jubatus_FELIDAE_CARNIVORA" 0.282535635938511 0.285699196617946 0.0903586461400233 0.1375025729269 0.141002580068867 0.148196623691046 0.192176989798488 0.148196623691046
"Acomys_airensis_MURIDAE_RODENTIA" 0.168460143378303 0.17820656453383 0.00421636655583829 0.0513730464262487 0.115557634741712 0.126833518107581 0.164243776822465 0.126833518107581
"Acomys_cahirinus_MURIDAE_RODENTIA" 0.162985186934834 0.179701446802348 0.00422962884832415 0.0519523293840587 0.115612540419773 0.127749117418289 0.15875555808651 0.127749117418289
"Acomys_cilicicus_MURIDAE_RODENTIA" 0.169676154151583 0.179828369731579 0.00422966611361892 0.0519672488620587 0.115603453497821 0.12786112086952 0.165446488037964 0.12786112086952
"Acomys_cineraceus_MURIDAE_RODENTIA" 0.168364325857379 0.178492902912256 0.00420248736172705 0.0517657465318387 0.11432876816972 0.126727156380418 0.164161838495652 0.126727156380418
"Acomys_dimidiatus_MURIDAE_RODENTIA" 0.169593972390762 0.179711479023856 0.0042296234470249 0.0519204468440587 0.11557212773147 0.127791032179797 0.165364348943737 0.127791032179797
"Acomys_ignitus_MURIDAE_RODENTIA" 0.167767403035283 0.178787158018888 0.00425232441296332 0.0519472830694387 0.115905468253731 0.12683987494945 0.16351507862232 0.12683987494945
"Acomys_johannis_MURIDAE_RODENTIA" 0.169191638457066 0.179495038988142 0.00422800829821726 0.0518910579138487 0.116501361077052 0.127603981074293 0.164963630158848 0.127603981074293
"Acomys_kempi_MURIDAE_RODENTIA" 0.169157127050736 0.17891212525405 0.00422784986038456 0.0517218838355487 0.11561158943335 0.127190241418501 0.164929277190352 0.127190241418501
"Acomys_louisae_MURIDAE_RODENTIA" 0.168867154529818 0.178786460999126 0.00420431495427899 0.0518690490705487 0.106398167692113 0.126917411928577 0.164662839575539 0.126917411928577
"Acomys_minous_MURIDAE_RODENTIA" 0.169676154151583 0.179828369731579 0.00422966611361892 0.0519672488620587 0.115603453497821 0.12786112086952 0.165446488037964 0.12786112086952
"Acomys_mullah_MURIDAE_RODENTIA" 0.16657225161419 0.178154970627484 0.00418359612309496 0.0514528845498387 0.11484586169897 0.126702086077645 0.162388655491095 0.126702086077645
"Acomys_muzei_MURIDAE_RODENTIA" 0.166904319536902 0.177481201304938 0.00418767708379448 0.0511299242916387 0.114720441438685 0.126351277013299 0.162716642453107 0.126351277013299
"Acomys_nesiotes_MURIDAE_RODENTIA" 0.169583480221454 0.179812558726216 0.00422975758754253 0.0519739156870587 0.115684470943987 0.127838643039157 0.165353722633912 0.127838643039157
"Acomys_ngurui_MURIDAE_RODENTIA" 0.163616980392579 0.177503957484372 0.00419021038704242 0.0512027245324387 0.114361872305647 0.126301232951933 0.159426770005536 0.126301232951933
"Acomys_percivali_MURIDAE_RODENTIA" 0.168610850807214 0.178396305132262 0.00420529836392114 0.0516296305378287 0.1126181711462 0.126766674594433 0.164405552443293 0.126766674594433
"Acomys_russatus_MURIDAE_RODENTIA" 0.153631443137136 0.177940356998348 0.00420475118847648 0.0518223602566387 0.113697060252035 0.126117996741709 0.149426691948659 0.12611799674171
"Acomys_seurati_MURIDAE_RODENTIA" 0.16884085720745 0.178371583358545 0.00422440197909814 0.0513031763358387 0.115351228197331 0.127068407022707 0.164616455228352 0.127068407022707
"Acomys_spinosissimus_MURIDAE_RODENTIA" 0.168060948459908 0.177584379613215 0.00418778101455318 0.0510880811100387 0.114746055005321 0.126496298503176 0.163873167445354 0.126496298503176
"Acomys_subspinosus_MURIDAE_RODENTIA" 0.168697166137462 0.178190655704395 0.00420187772403213 0.0512607036089387 0.115108896675355 0.126929952095456 0.16449528841343 0.126929952095456
