species	Family	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Gerbilliscus_robustus	Muridae	840.283018867925	32	1586	-1.4532306036835	-7.8061	15.81667	234.666666666667	190	292	5.205	682.2908	5231309.706	0.096	1.26764
Gerbillurus_paeba	Muridae	978.376811594203	54	1644	-24.3587615262304	-33.65	-17.396	189.942028985507	139	227	3.635	624.3996409	2210211.02	0.0233	0.834284
Gerbillus_amoenus	Muridae	100.75	-5	290	28.2057508333333	23.3	30.45	217.166666666667	199	251	4.08	951.2818	740782.0469	0.025	0.383531
Gerbillus_andersoni	Muridae	58.5652173913044	-1	337	31.4421775852542	30.76667	32.37253	196.666666666667	189	206	4.1	951.2818	118359.198	0.0245	0.255136
Gerbillus_campestris	Muridae	476.2	10	1074	33.800828	30.48333	36.8	182.6	157	201	4.34	951.2818	1171755.234	0.0284	0.455654
Gerbillus_gerbillus	Muridae	175.926605504587	-56	1353	27.7724982272727	16	33.88333	222.295454545455	172	296	4.1	951.2818	9469835.691	0.025	0.664906
Gerbillus_henleyi	Muridae	154.243243243243	-1	524	28.0539678378378	14.83333	35.47192	216.621621621622	171	295	4	951.2818	3879402.093	0.008	0.284851
Gerbillus_latastei	Muridae	158.588235294118	22	433	33.2065058823529	32.58266	34.13833	201.705882352941	192	210	4.12	951.2818	177237.2588	0.0396	0.366862
Gerbillus_nancillus	Muridae	217	217	217	14	14	14	291	291	291	NA	951.2818	1328732.257	0.0041	0.153909
Gerbillus_nanus	Muridae	475.117647058824	0	2115	27.4972166176471	16	34.425	232.558823529412	146	296	4.08	951.2818	10300688.94	0.0215	0.620861
Gerbillus_perpallidus	Muridae	45.7142857142857	-36	151	30.386905	30.05	30.91667	199.714285714286	191	210	4.575	951.2818	25003.11647	0.0363	0.228623
Gerbillus_pyramidum	Muridae	133.210526315789	-17	880	26.446165	16.08333	31.4	231.298245614035	194	295	3.3	951.2818	3371253.228	0.052	0.810467
Gerbillus_simoni	Muridae	29.7142857142857	10	68	31.0433614285714	30.85	31.35	193.142857142857	190	196	4.68	951.2818	261278.4481	0.0174	0.248657
Gerbillus_tarabuli	Muridae	266.92	0	615	24.4062676	15	34.35491	250.04	192	296	3.385	951.2818	6379310.589	0.0425	0.828287
Giraffa_camelopardalis	Giraffidae	1001.76470588235	67	2011	-12.2092230882353	-25.41723	13.42856	217.176470588235	166	291	1.12	5251.011667	2039655.94	899.9948	142.050419
Glaucomys_sabrinus	Sciuridae	756.231182795699	0	2710	46.9674948992933	37.2315784965337	64.9987556773769	52.3689839572192	-66	115	3	1729.4573	7821964.172	0.166	2.572548
Glaucomys_volans	Sciuridae	259.673553719008	1	2966	36.7024457593647	14.5833	47.43963	131.672164948454	30	241	3.13	1930.24335	3862958.674	0.0639	1.111546
Glauconycteris_argentata	Vespertilionidae	1142.76923076923	22	1999	-0.476507362708599	-7.03122714563537	4.65	212.384615384615	169	263	NA	2055.239876	4049232.857	0.0091	0.300828
Glauconycteris_beatrix	Vespertilionidae	135	47	239	5.6269425	4.35	6.93333	259	255	262	NA	2055.239876	1990909.712	0.0065	0.207885
Glauconycteris_egeria	Vespertilionidae	547.5	39	1056	4.216665	4.15	4.28333	222	187	257	NA	2055.239876	391807.1129	0.0076	0.161816
Glauconycteris_variegata	Vespertilionidae	824.277777777778	39	1661	-2.29773111111111	-27.93333	8.75023	234	188	273	1.06	2051.666208	8802460.882	0.0111	0.404196
Glis_glis	Gliridae	642.46978021978	1	2811	45.8574673076923	36.4485	52.7631	92.75	-19	143	4.73	1152.9402	3711721.263	0.125	0.671857
Glossophaga_longirostris	Phyllostomidae	195.451923076923	0	1403	8.58839008249866	2.35	13.37044	261.443396226415	227	285	1	2064.27635	1591418.306	0.0119	0.29525
Glossophaga_soricina	Phyllostomidae	448.304521276596	-1	3645	9.90197169087394	-25.259	29.15	243.727152317881	103	285	1	2064.27635	15039357.33	0.0094	0.41874
Gorilla_beringei	Hominidae	2817.5	2097	3592	-1.265385	-1.53629	-1.04982	131.5	83	161	1	7300	66055.38649	130	16.435059
Gorilla_gorilla	Hominidae	301	1	512	-0.00921000000000002	-1.63333	2.4057	247.666666666667	238	257	1.005	8030	704991.6862	120.95	26.333133
Gracilinanus_agilis	Didelphidae	497.16	68	1156	-16.0206473830183	-25.5081	-4.58333	233.12	181	275	11.5	642.840025	3650649.414	0.022	0.502873
Gracilinanus_microtarsus	Didelphidae	483.9	18	905	-23.6275151705615	-26.82223	-19.7171530700302	198.7	166	232	9.7	642.840025	637693.5006	0.031	0.420194
