species	Family	mean_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Anourosorex_squamipes	Soricidae	131.52	2.82	379.2929563	1198209.65	0.02	0.383645
Anourosorex_yamashinai	Soricidae	124.166666666667	2.82	426.9101194	36229.77248	0.0114	0.125582
Antidorcas_marsupialis	Bovidae	207.158878504673	1	2563.152683	1966848.52	31.5	15.634165
Antilope_cervicapra	Bovidae	253.4	1	2747.350267	1771403.917	37.5	16.829544
Antrozous_pallidus	Vespertilionidae	151.246822033898	2	1524.0575	4390098.997	0.0208	0.520773
Aotus_nancymaae	Aotidae	260	1.02	3047.8376	499256.824	0.788	2.559894
Aplodontia_rufa	Aplodontiidae	89.192118226601	2.8	1576.8	245571.2931	1.004	0.326
Apodemus_agrarius	Muridae	72.8643617021277	5.68	504.40745	11519253.24	0.0233	0.666118
Apodemus_alpicola	Muridae	25.28	5.5	554.1929125	110729.1492	0.0281	0.272112
Apodemus_chevrieri	Muridae	100.0625	5.68	554.1929125	889690.7864	0.0329	0.467228
Apodemus_draco	Muridae	107.514285714286	5.18	554.1929125	1811341.586	0.0223	0.435629
Apodemus_flavicollis	Muridae	84.0468476357268	5.5	513.1567	6053722.333	0.039	0.637699
Apodemus_latronum	Muridae	NA	5.22	554.1929125	540043.1813	0.0352	0.436096
Apodemus_mystacinus	Muridae	173.411764705882	3.36	554.1929125	806772.9385	0.0456	0.551883
Apodemus_pallipes	Muridae	52.2727272727273	5.2	554.1929125	786912.9502	NA	NA
Apodemus_peninsulae	Muridae	8.84375	4.7	554.1929125	8895675.13	0.0329	0.76815
Apodemus_ponticus	Muridae	NA	5.5	554.1929125	348245.239	NA	NA
Apodemus_sylvaticus	Muridae	102.751295336788	5.18	626.6475	5226542.221	0.0305	0.952446
Apodemus_uralensis	Muridae	37.1136363636364	5.2	554.1929125	7216464.966	0.0171	0.504037
Apodemus_witherbyi	Muridae	86.8125	NA	554.1929125	1585351.114	0.03	0.501957
Apomys_abrae	Muridae	184.833333333333	NA	624.3996409	11720.18982	0.0566	0.250585
Apomys_banahao	NA	NA	NA	NA	NA	NA	NA
Apomys_datae	Muridae	NA	NA	624.3996409	11720.18982	0.106	0.359409
Apomys_hylocetes	Muridae	NA	NA	624.3996409	4456.534131	0.0451	0.178475
Apomys_insignis	Muridae	190.461538461538	NA	624.3996409	96198.23029	0.0299	0.273562
Apomys_microdon	Muridae	221.818181818182	NA	624.3996409	62666.68151	0.0351	0.273459
Apomys_sierrae	NA	NA	NA	NA	NA	NA	NA
