species	Family	mean_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Crocidura_aleksandrisi	Soricidae	NA	4	409.171225	42939.63912	NA	NA
Crocidura_attenuata	Soricidae	151.08	0.99	427.67965	5069935.698	0.0143	0.422243
Crocidura_batakorum	NA	NA	NA	NA	NA	NA	NA
Crocidura_beatus	Soricidae	226.625	NA	427.67965	57814.43276	0.0106	0.13257
Crocidura_beccarii	Soricidae	NA	1.615	409.171225	93050.63369	0.007	0.112525
Crocidura_brunnea	Soricidae	193	1.615	427.67965	133111.4053	0.0149	0.197558
Crocidura_caspica	Soricidae	NA	4.02	427.67965	12870.69048	0.0103	0.094091
Crocidura_dsinezumi	Soricidae	134.6	4.165	427.67965	288019.0847	0.0102	0.182934
Crocidura_elongata	Soricidae	NA	NA	427.67965	129821.6009	0.0178	0.220287
Crocidura_flavescens	Soricidae	175	3.37	427.67965	294123.4728	0.0285	0.35569
Crocidura_foetida	Soricidae	101	1.615	427.67965	742495.4552	0.0093	0.211502
Crocidura_fuliginosa	Soricidae	171.785714285714	1.615	427.67965	2879090.55	0.012	0.33385
Crocidura_fulvastra	Soricidae	277.727272727273	NA	427.67965	4389650.721	0.0127	0.379254
Crocidura_goliath	Soricidae	237	NA	427.67965	586859.1335	0.0548	0.628555
Crocidura_grandiceps	Soricidae	233	NA	427.67965	34814.90113	0.023	0.195482
Crocidura_grayi	Soricidae	204.115384615385	NA	427.67965	129722.4462	0.0103	0.154959
Crocidura_hikmiya	NA	NA	NA	NA	4.060468745	0.0077	0.013689
Crocidura_hildegardeae	Soricidae	190.868421052632	NA	427.67965	2371770.718	0.0095	0.275527
Crocidura_hirta	Soricidae	216.75	3.67	427.67965	4089726.25	0.0158	0.429791
Crocidura_jouvenetae	Soricidae	247.333333333333	3	409.171225	225228.9426	0.0095	0.165725
Crocidura_lamottei	Soricidae	NA	NA	427.67965	1579668.128	0.0205	0.413752
Crocidura_lasiura	Soricidae	89.2	NA	427.67965	1577409.726	0.0148	0.33548
Crocidura_lepidura	Soricidae	NA	1.615	427.67965	235172.4938	0.0185	0.256728
Crocidura_leucodon	Soricidae	98.7792207792208	4.72	427.67965	3928131.777	0.0098	0.313441
Crocidura_mdumai	NA	NA	NA	NA	NA	NA	NA
Crocidura_mindorus	Soricidae	NA	NA	427.67965	454.855899	0.018	0.065448
Crocidura_monax	Soricidae	171.125	NA	427.67965	54469.76473	0.016	0.170523
Crocidura_montis	Soricidae	123.2	3.74	427.67965	24922.04779	0.0145	0.135202
Crocidura_munissii	NA	NA	NA	NA	NA	NA	NA
Crocidura_muricauda	Soricidae	NA	NA	409.171225	408486.8013	0.0055	0.132636
Crocidura_musseri	Soricidae	NA	NA	427.67965	91.81275333	0.0077	0.026842
Crocidura_negrina	Soricidae	223.666666666667	NA	427.67965	467.554933	0.0134	0.054463
Crocidura_newmarki	NA	NA	NA	NA	NA	NA	NA
Crocidura_nigripes	Soricidae	230.7	NA	427.67965	81711.34623	0.0132	0.164482
Crocidura_obscurior	Soricidae	NA	2.99	409.171225	380271.0462	0.0036	0.09946
Crocidura_olivieri	Soricidae	201.613756613757	3.37	427.67965	16035149.15	0.058	1.331608
Crocidura_orientalis	Soricidae	147	1.615	427.67965	462.8384426	0.0113	0.048705
Crocidura_pachyura	Soricidae	NA	4.04	409.171225	64542.91692	0.0144	0.165305
Crocidura_palawanensis	Soricidae	224.428571428571	NA	409.171225	11957.88155	0.0106	0.094333
Crocidura_panayensis	NA	NA	NA	NA	NA	NA	NA
Crocidura_paradoxura	Soricidae	NA	NA	409.171225	106830.8881	0.0082	0.128341
Crocidura_poensis	Soricidae	258.3	2.44	427.67965	1124320.015	0.0166	0.335699
Crocidura_rapax	Soricidae	NA	4.04	427.67965	232110.56	0.0048	0.107561
Crocidura_russula	Soricidae	118.961133603239	4.04	448.652	1927196.855	0.0115	0.208235
Crocidura_sibirica	Soricidae	30.3333333333333	4.72	427.67965	6043034.894	0.073	1.250449
Crocidura_suaveolens	Soricidae	122.440476190476	4	369.69045	12625307.81	0.0087	0.373604
Crocidura_tanakae	Soricidae	NA	0.99	427.67965	36229.77248	0.0105	0.119116
Crocidura_theresae	Soricidae	NA	1.99	427.67965	66609.74393	0.0176	0.189346
Crocidura_viaria	Soricidae	237.555555555556	3.495	427.67965	8301392.162	0.017	0.524904
Crocidura_wimmeri	Soricidae	NA	NA	427.67965	77.73702425	0.0235	0.053046
Crocidura_wuchihensis	Soricidae	NA	3.14	427.67965	3925.999869	0.0048	0.044574
Crocidura_zaitsevi	NA	NA	NA	NA	NA	NA	NA
Crocuta_crocuta	Hyaenidae	210.082191780822	2	5054.41125	14759222.58	62.9999	40
Crossarchus_alexandri	Herpestidae	244.090909090909	4	2110.425	1431929.176	1.5	4.652989
Crossarchus_obscurus	Herpestidae	254.636363636364	4	1384.606533	498588.4855	1.25	3.33643
Crossarchus_platycephalus	Herpestidae	NA	4	1507.34	522037.9217	1	3.962602
Cryptomys_hottentotus	Bathyergidae	168.454545454545	2.86	1606.95955	834234.7736	0.102	0.504782
Cryptonanus_chacoensis	Didelphidae	211.15	NA	843.3734222	887776.4078	0.0155	0.302996
Cryptoprocta_ferox	Eupleridae	210.25	3	2555	597028.2544	9.5	9.306333
Cryptotis_mexicana	Soricidae	148.833333333333	2.995	330.7472	32268.17329	0.007	0.089523
Cryptotis_parva	Soricidae	162.404255319149	4.55	330.7472	4141817.888	0.005	0.393725
Ctenomys_boliviensis	Ctenomyidae	246	NA	600.93415	134776.2015	0.535	0.923297
Ctenomys_dorbignyi	Ctenomyidae	221.5	NA	600.93415	8879.100878	0.18	0.281218
Ctenomys_haigi	Ctenomyidae	80.8125	2.6	600.93415	26941.26522	0.164	0.07031
Ctenomys_mendocinus	Ctenomyidae	138	NA	600.93415	137695.5886	0.1235	0.412836
Ctenomys_minutus	Ctenomyidae	243	NA	600.93415	74431.81782	0.0932	0.309445
Ctenomys_pearsoni	Ctenomyidae	NA	NA	600.93415	11589.86137	0.216	0.329421
Ctenomys_perrensi	Ctenomyidae	NA	NA	600.93415	45592.83061	0.216	0.442783
Ctenomys_porteousi	Ctenomyidae	152	NA	600.93415	33226.50632	0.1924	0.387947
Ctenomys_rionegrensis	Ctenomyidae	181	NA	600.93415	1163.238107	NA	NA
Ctenomys_roigi	Ctenomyidae	NA	NA	600.93415	152.9007736	0.2213	0.131126
Ctenomys_sociabilis	Ctenomyidae	67.625	NA	600.93415	1064.127589	0.21	0.193668
Ctenomys_talarum	Ctenomyidae	150.333333333333	4.17	600.93415	51504.4847	0.1323	0.069545
Ctenomys_torquatus	Ctenomyidae	183	2.5	600.93415	242646.3473	0.2095	0.624662
Ctenomys_tucumanus	Ctenomyidae	196	NA	600.93415	7763.915444	0.2043	0.292972
Cuon_alpinus	Canidae	204.222222222222	4.3	2041.808633	3500607.616	12.76	49.409117
Cyclopes_didactylus	Cyclopedidae	NA	1	3936.035513	8004913.211	0.3295	2.978098
Cynomops_abrasus	Molossidae	237.733333333333	0.98	1427.913317	10805387.87	0.041	0.978446
Cynomops_paranus	Molossidae	NA	NA	1427.913317	6949253.882	0.0162	0.489725
Cynomops_planirostris	Molossidae	263.2	1	1427.913317	11592800.22	0.0124	0.460604
Cynomys_ludovicianus	Sciuridae	116.23963963964	4.43	1567.7682	1825725.262	1.364	4.7
Cynomys_mexicanus	Sciuridae	181	4.5	1567.7682	589.0925924	0.9	0.380718
Cynopterus_brachyotis	Pteropodidae	255.073684210526	1.1	1287.664	2731682.302	0.0312	0.368135
Cynopterus_horsfieldii	Pteropodidae	258.428571428571	2	1286.45835	1505501.874	0.0551	0.443124
Cynopterus_sphinx	Pteropodidae	248.857142857143	1.1	1285.2527	6522436.178	0.0437	0.535088
Cystophora_cristata	Phocidae	NA	1	3650	8045663.725	288.3335	272.586101
Dacnomys_millardi	Muridae	184	NA	639.6318318	42090.97875	NA	NA
Dama_dama	Cervidae	91.7958312405826	1.07	3286.095	193873.3269	56.25	9.289418
Damaliscus_pygargus	Bovidae	151.727272727273	1.25	3053.358833	398425.4259	102	21.189549
Dasyprocta_leporina	Dasyproctidae	260.294117647059	1.75	2098.68845	2049339.249	3.02	7.517075
Dasypus_novemcinctus	Dasypodidae	208.537366548043	4	1825	18405297.94	4.2038	5.491342
Dasyurus_hallucatus	Dasyuridae	272.569620253165	6.595	731.3936	335172.0849	0.525	1.320573
Dasyurus_maculatus	Dasyuridae	142.915674603175	4.47	917.4219	467391.0085	5.5	9.221502
Daubentonia_madagascariensis	Daubentoniidae	NA	1	2920	126432.1315	2.5	2.561503
Delomys_sublineatus	Cricetidae	184	NA	589.3882991	152323.5211	0.09	0.56918
Delphinapterus_leucas	Monodontidae	NA	1.02	5659.8752	10133806.02	1360	776.439997
Delphinus_capensis	Delphinidae	NA	0.99	3545.59095	14114639.5	128.084	182.691589
Delphinus_delphis	NA	NA	NA	NA	173794537.3	80	232.159165
Deltamys_kempi	Cricetidae	NA	NA	589.3882991	139848.8223	0.0264	0.276098
Dendrolagus_dorianus	Macropodidae	182.857142857143	1	3650	40360.09202	10.0683	3.598264
Dendrolagus_goodfellowi	Macropodidae	175.75	1	3650	116389.0564	8.025	3.990388
Dendrolagus_inustus	Macropodidae	231.333333333333	1	3650	146380.2625	13.0313	5.479935
Dendrolagus_matschiei	Macropodidae	NA	1.005	3401.503017	13763.97539	6.96	2.298212
Dendromus_melanotis	Nesomyidae	194.285714285714	4.56	1064.06475	3323998.629	0.0091	0.296682
Dendromus_mystacalis	Nesomyidae	215.285714285714	3.87	1064.06475	2970991.55	0.0077	0.263062
Dermanura_phaeotis	Phyllostomidae	250.333333333333	0.99	1920.4777	3784986.345	0.0116	0.350805
Dermanura_watsoni	Phyllostomidae	247.258620689655	0.995	1920.4777	561442.287	0.012	0.236906
Desmodus_rotundus	Phyllostomidae	229.073355817875	1	2779.7975	17931021.5	0.0312	0.915773
Dicerorhinus_sumatrensis	Rhinocerotidae	NA	1	7300	8882.784135	1266.667	24.228287
Dicrostonyx_groenlandicus	Cricetidae	-114.444444444444	3.4	392.97	2537168.344	0.0544	1.000712
Dicrostonyx_richardsoni	Cricetidae	-81.6666666666667	3.45	436.1317	402445.7186	0.055	0.332941
Dicrostonyx_torquatus	Cricetidae	-128.1	3.85	479.2934	2590661.733	0.085	0.632974
Didelphis_albiventris	Didelphidae	196.263513513514	6.9	419.5578	6863365.809	0.904	1.889382
Didelphis_aurita	Didelphidae	203.75	6.2	553.4351	1461563.25	1.164	4.03964
Didelphis_marsupialis	Didelphidae	243.605042016807	6.2	494.7575	9444456.615	1.0912	5.923933
Didelphis_virginiana	Didelphidae	164.293307086614	6.645	745.99	6067623.506	2.1955	4.726
Diphylla_ecaudata	Phyllostomidae	232.772727272727	1	2064.27635	8189541.405	0.0293	0.742607
Dipodomys_agilis	Heteromyidae	143.851020408163	2.575	824.7267	38776.9984	0.0579	0.286699
Dipodomys_elator	Heteromyidae	167.580952380952	2.91	1033.3533	10822.7339	0.0775	0.15229
Dipodomys_heermanni	Heteromyidae	150.477477477477	3.11	644.00335	76958.61835	0.072	0.432034
Dipodomys_merriami	Heteromyidae	176.837342908438	2.3	688.0925	1432875.355	0.042	0.517971
Dipodomys_panamintinus	Heteromyidae	131.360691144708	3.5	824.7267	61223.27251	0.0747	0.360688
Dipodomys_phillipsii	Heteromyidae	169.833333333333	2.59	824.7267	178624.5625	0.041	0.374893
Dipodomys_simulans	Heteromyidae	173.269230769231	NA	824.7267	98426.87288	0.0575	0.400361
Dipus_sagitta	Dipodidae	53.1025641025641	3.435	726.1971375	3160968.591	0.0857	0.66376
Dorcopsulus_vanheurni	Macropodidae	201.2	1.18	1825	181763.1045	1.7858	1.916242
Dremomys_pernyi	Sciuridae	100.6875	4	1384.121263	1766428.263	0.1986	1.522856
Dremomys_rufigenis	Sciuridae	212.842105263158	NA	1384.121263	1670427.534	0.2	1.510679
Dryomys_nitedula	Gliridae	80.9615384615385	3.24	879.124225	5236115.005	0.0289	0.635893
Echimys_chrysurus	Echimyidae	NA	1.97	739.0095889	1604576.054	0.6525	1.7589
Echinosorex_gymnura	Erinaceidae	265.529411764706	1.85	1202.925238	1392370.003	0.957	4.761126
Ectophylla_alba	Phyllostomidae	257.692307692308	0.995	2064.27635	125866.7031	0.0058	0.074802
Eidolon_dupreanum	Pteropodidae	245	1.08	2190	464732.418	0.2838	0.849927
Eidolon_helvum	Pteropodidae	245.125	1.04	1825	11948220.46	0.2533	1.609159
Elaphurus_davidianus	Cervidae	NA	1.11	3530.65	99.87878568	149	4.359817
Elephas_maximus	Elephantidae	243.833333333333	1	8030	628718.3846	2915.04	93.244088
Eligmodontia_bolsonensis	NA	NA	NA	NA	NA	NA	NA
Eligmodontia_hirtipes	NA	NA	NA	NA	NA	NA	NA
Eligmodontia_moreni	Cricetidae	NA	NA	147.5856	50672.33239	0.018	0.177931
Eligmodontia_morgani	Cricetidae	84.28	NA	147.5856	371736.0009	0.0165	0.260261
Eligmodontia_puerulus	Cricetidae	66.2105263157895	5.12	147.5856	451677.3273	0.0285	0.371634
Eliomys_melanurus	Gliridae	140.25	4.99	1013.94125	149663.4542	0.0518	0.412753
Eliomys_quercinus	Gliridae	116.057446030004	4.99	1013.94125	2359282.157	0.115	1.184138
Eliurus_antsingy	Nesomyidae	NA	NA	604.575	596.3789444	0.0928	0.108871
Eliurus_carletoni	NA	NA	NA	NA	NA	NA	NA
Eliurus_ellermani	Nesomyidae	NA	NA	1064.06475	20.03462249	0.1	0.054526
Eliurus_majori	Nesomyidae	NA	NA	1064.06475	74043.40508	0.1	0.321352
Eliurus_minor	Nesomyidae	230	NA	604.575	117800.9697	0.035	0.198959
Eliurus_myoxinus	Nesomyidae	260.25	NA	604.575	265552.0151	0.0625	0.326615
Eliurus_tanala	Nesomyidae	190	NA	604.575	108827.8051	0.0825	0.314024
Eliurus_webbi	Nesomyidae	NA	NA	604.575	130412.2666	0.0725	0.304049
Ellobius_talpinus	Cricetidae	95	3.635	589.3882991	2979876.613	0.04	0.430276
Ellobius_tancrei	Cricetidae	1.77272727272727	3.635	589.3882991	3038593.838	0.02	0.29468
Emballonura_atrata	Emballonuridae	NA	NA	894.25	106788.5324	0.0043	0.091776
Emballonura_raffrayana	Emballonuridae	247.529411764706	NA	894.25	219337.6061	0.0056	0.124788
Emballonura_semicaudata	Emballonuridae	248.857142857143	NA	894.25	16729.59334	0.0063	0.076603
Emballonura_tiavato	Emballonuridae	NA	NA	894.25	151050.5112	0.0033	0.084951
Eonycteris_spelaea	Pteropodidae	252.127118644068	1	979.3233	3569984.768	0.0581	0.549806
Eospalax_fontanierii	Spalacidae	31.3333333333333	NA	1032.923574	1205265.982	0.245	0.96271
Eospalax_smithii	Spalacidae	NA	NA	717.7762436	135393.3634	0.379	0.764009
Eothenomys_cachinus	Cricetidae	NA	1.8	589.3882991	25171.38375	NA	NA
Eothenomys_chinensis	Cricetidae	NA	NA	589.3882991	9068.382911	0.0453	0.131875
Eothenomys_custos	Cricetidae	NA	NA	589.3882991	116591.8613	0.0308	0.184986
Eothenomys_melanogaster	Cricetidae	112.965517241379	1.8	589.3882991	1735606.384	0.027	0.308177
Eothenomys_miletus	Cricetidae	147	1.8	589.3882991	405837.456	0.0507	0.318883
Eothenomys_olitor	Cricetidae	NA	NA	589.3882991	179676.2352	0.022	0.168658
Eothenomys_proditor	Cricetidae	72.25	NA	589.3882991	38759.32491	0.0425	0.174213
Eozapus_setchuanus	Dipodidae	NA	NA	726.1971375	547414.1999	0.0326	0.418502
Episoriculus_caudatus	Soricidae	104.6	4.77	426.9101194	318202.2976	0.0091	0.173695
Episoriculus_fumidus	Soricidae	NA	3.42	426.9101194	12925.48273	0.0067	0.071435
Episoriculus_macrurus	Soricidae	93.2857142857143	NA	426.9101194	378518.1386	0.0136	0.233463
Epomophorus_gambianus	Pteropodidae	261.2	1	2349.856741	3839394.613	0.1289	0.867228
Eptesicus_bottae	Vespertilionidae	NA	2	2400.9362	3961637.077	0.0142	0.398539
Eptesicus_fuscus	Vespertilionidae	116.974137931034	1.925	2400.9362	13212020.16	0.0165	0.56928
Eptesicus_gobiensis	Vespertilionidae	39.8571428571429	1.25	2400.9362	3891653.459	0.01	0.316899
Eptesicus_isabellinus	NA	NA	NA	NA	NA	NA	NA
Eptesicus_nasutus	Vespertilionidae	244.333333333333	NA	2400.9362	1883085.671	0.0079	0.232835
Eptesicus_nilssonii	Vespertilionidae	54.6359757466876	1.5	2400.9362	10369411.18	0.0104	0.40158
Eptesicus_serotinus	Vespertilionidae	103.756651294785	1.5	2400.9362	12142176.12	0.0229	0.69008
Equus_africanus	Equidae	NA	NA	3041.701561	85855.06787	325	28.846692
Equus_caballus	Equidae	NA	1	NA	NA	250	1.99
Equus_grevyi	Equidae	215.727272727273	1	2190	69279.58943	407.9998	31.226515
Equus_hemionus	Equidae	NA	1	1825	356643.2654	230	32.413586
Equus_quagga	Equidae	206.958333333333	1	3659.125	2337161.791	276	53.795685
Equus_zebra	Equidae	189.818181818182	1	4024.699367	101096.8078	286.9987	24.723607
Erinaceus_concolor	Erinaceidae	119.8	4.5	927.6256	1350880.995	0.719	1.521642
Erinaceus_europaeus	Erinaceidae	95.2889022280287	4.22	1608.5234	3796026.187	0.771	3.619882
Erophylla_bombifrons	Phyllostomidae	NA	1	2064.27635	83777.88432	0.0143	0.173762
Erophylla_sezekorni	Phyllostomidae	250.571428571429	1	2064.27635	124162.7474	0.0158	0.200332
Erythrocebus_patas	Cercopithecidae	262.142857142857	1	3529.3359	7216908.456	8.09	52.920012
Eschrichtius_robustus	Eschrichtiidae	NA	1	10444.3345	NA	28500	9486.66943
Euchoreutes_naso	Dipodidae	61	NA	726.1971375	1678715.117	0.0241	0.44809
Eudorcas_rufifrons	Bovidae	NA	1	1825	2319287.286	26.9998	14.878613
Eudorcas_thomsonii	Bovidae	194.21875	1	2190	163002.5686	20.4998	7.202982
Eulemur_albifrons	Lemuridae	219.857142857143	1.07	2920	18581.2082	2.3	2.328164
Eulemur_collaris	Lemuridae	NA	1.1	2920	8233.795282	2.375	1.149845
Eulemur_coronatus	Lemuridae	256	1.5	3062.15	6311.781194	1.65	0.887902
Eulemur_flavifrons	Lemuridae	NA	NA	2920	2560.909661	NA	NA
Eulemur_fulvus	Lemuridae	231.363636363636	1.1	2920	48792.09689	2.5	0.919926
Eulemur_mongoz	Lemuridae	261.666666666667	1.11	4154.1015	6745.152244	1.35	1.035113
Eulemur_rubriventer	Lemuridae	197.375	1	2920	50393.82932	2	1.546379
Eulemur_rufifrons	Lemuridae	NA	NA	2920	32936.13165	1.82	1.339108
Eulemur_rufus	Lemuridae	NA	1.1	3206.295944	38778.53103	2.375	1.606786
Eulemur_sanfordi	Lemuridae	NA	1.1	3206.295944	3738.594854	2.25	0.941093
Eumops_auripendulus	Molossidae	232.32	0.99	1427.913317	14279713.21	0.0285	0.822565
Eumops_glaucinus	Molossidae	249.485714285714	1.02	1427.913317	11524991.57	0.0354	0.902796
Eumops_perotis	Molossidae	189.007462686567	1	1427.913317	11825663.91	0.0511	1.149386
Euneomys_chinchilloides	Cricetidae	55.2	NA	589.3882991	76336.63799	0.0876	0.300672
Eupetaurus_cinereus	Sciuridae	NA	NA	2015.755102	32920.51352	2.5	1.595516
Eupleres_goudotii	Eupleridae	NA	1.25	2894.45	84135.17874	3	5.413321
Euroscaptor_longirostris	Talpidae	NA	NA	759.1857214	268036.458	0.0427	0.452077
Euroscaptor_mizura	Talpidae	45.3333333333333	3	759.1857214	15959.39594	0.0355	0.21833
Euroscaptor_parvidens	Talpidae	NA	NA	759.1857214	4806.661978	0.0721	0.265673
Euryoryzomys_russatus	Cricetidae	203.230769230769	NA	589.3882991	1019045.713	0.0605	0.428893
Felis_catus	Felidae	NA	3.69	NA	NA	2.8848	18.623315
Felis_chaus	Felidae	218.424242424242	3	1903.782067	7074635.829	7.393	25.166558
Felis_margarita	Felidae	234.6	4.5	1730.465	3562199.095	2.525	10.879571
Felis_silvestris	Felidae	114.25756097561	3.69	2905.4	35334992.94	5.5	22.933415
Galago_senegalensis	Galagidae	237	1.5	2167.5525	8494741.792	0.2277	3.876624
Galagoides_demidovii	Galagidae	NA	1.29	1705.4042	4456102.328	0.0601	0.935487
Galea_musteloides	Caviidae	150.69696969697	2.63	389.8012	1938365.03	0.48	1.546446
Galemys_pyrenaicus	Talpidae	95.3759842519685	3.645	730	163536.8463	0.0602	0.305546
Galeopterus_variegatus	Cynocephalidae	260.826086956522	NA	2840.441639	1557289.102	1.0125	2.227422
Gazella_arabica	Bovidae	NA	1.5	2137.174017	NA	12	8.012799
Gazella_bennettii	Bovidae	259	1.22	2141.73375	2786547.744	18.9167	12.718988
Gazella_cuvieri	Bovidae	NA	1.23	2022.515	520907.5394	25	10.32897
Gazella_dorcas	Bovidae	224.111111111111	1.22	2190	9994667.411	23.0001	18.668173
Gazella_gazella	Bovidae	194.924964438122	1.475	2190	328705.06	22.7499	11.220923
Gazella_leptoceros	Bovidae	NA	1	1729.8227	1237236.237	22.2	11.659883
Gazella_subgutturosa	Bovidae	175.25	1.39	2496.146667	9859211.307	28.5	20.952683
Genetta_genetta	Viverridae	129.375577003777	2.29	4194.899833	14117792.9	1.8	29.829472
Genetta_maculata	Viverridae	210.046511627907	2.3	2764.52	13018044.78	2.225	13.26898
Genetta_pardina	Viverridae	263	2.355	4294.58	1453172.122	3.1	7.084974
Genetta_servalina	Viverridae	207.789473684211	1.5	2211.9	3213470.624	1.055	6.072295
Genetta_thierryi	Viverridae	NA	NA	2198.09	2617142.147	1.4	6.967519
Genetta_tigrina	Viverridae	169.5	2.5	2498.9818	214112.571	2.225	2.020289
Geomys_breviceps	Geomyidae	190.679012345679	2.66	1126.8755	205589.2919	0.1052	0.412008
Geomys_bursarius	Geomyidae	131.29356846473	3.39	1126.8755	1539960.551	0.2405	1.004686
Geomys_personatus	Geomyidae	220.488636363636	3.195	1126.8755	35739.65354	0.397	0.587925
Geomys_pinetis	Geomyidae	202.594444444444	1.77	1126.8755	242870.3178	0.085	0.379666
Geomys_texensis	Geomyidae	184.65	3.39	1126.8755	18311.07799	0.2594	0.402301
Georychus_capensis	Bathyergidae	166.666666666667	5.94	967.375	101248.9664	0.2327	0.194215
Geoxus_valdivianus	Cricetidae	79.1463414634146	3.4	589.3882991	233035.1865	0.0315	0.360724
Gerbilliscus_guineae	Muridae	269.277777777778	NA	627.2105	902882.9204	0.1025	0.900744
Gerbilliscus_kempi	Muridae	257.512195121951	4.3	627.2105	4670174.41	0.101	1.273593
Gerbilliscus_leucogaster	Muridae	215.039215686275	4.52	682.2908	5829822.61	0.0728	1.106866
Gerbilliscus_nigricaudus	Muridae	230.666666666667	4.44	627.2105	618713.5679	0.123	0.921878
Gerbilliscus_phillipsi	Muridae	192	NA	627.2105	72783.51845	0.0629	0.394962
Gerbilliscus_robustus	Muridae	234.666666666667	5.205	682.2908	5231309.706	0.096	1.26764
Gerbillus_amoenus	Muridae	217.166666666667	4.08	951.2818	740782.0469	0.025	0.383531
Gerbillus_andersoni	Muridae	196.666666666667	4.1	951.2818	118359.198	0.0245	0.255136
Gerbillus_gerbillus	Muridae	222.295454545455	4.1	951.2818	9469835.691	0.025	0.664906
Gerbillus_henleyi	Muridae	216.621621621622	4	951.2818	3879402.093	0.008	0.284851
Gerbillus_latastei	Muridae	201.705882352941	4.12	951.2818	177237.2588	0.0396	0.366862
Gerbillus_nancillus	Muridae	291	NA	951.2818	1328732.257	0.0041	0.153909
Gerbillus_nanus	Muridae	232.558823529412	4.08	951.2818	10300688.94	0.0215	0.620861
Gerbillus_nigeriae	Muridae	NA	4.1	951.2818	72177.69671	0.0268	0.241429
Gerbillus_occiduus	Muridae	NA	NA	951.2818	11695.56454	0.0273	0.164717
Gerbillus_perpallidus	Muridae	199.714285714286	4.575	951.2818	25003.11647	0.0363	0.228623
Gerbillus_pyramidum	Muridae	231.298245614035	3.3	951.2818	3371253.228	0.052	0.810467
Gerbillus_tarabuli	Muridae	250.04	3.385	951.2818	6379310.589	0.0425	0.828287
Giraffa_camelopardalis	Giraffidae	217.176470588235	1.12	5251.011667	2039655.94	899.9948	142.050419
Glaucomys_sabrinus	Sciuridae	52.3689839572192	3	1729.4573	7821964.172	0.166	2.572548
Glaucomys_volans	Sciuridae	131.672164948454	3.13	1930.24335	3862958.674	0.0639	1.111546
Glauconycteris_argentata	Vespertilionidae	212.384615384615	NA	2055.239876	4049232.857	0.0091	0.300828
Glauconycteris_beatrix	Vespertilionidae	259	NA	2055.239876	1990909.712	0.0065	0.207885
Glauconycteris_egeria	Vespertilionidae	222	NA	2055.239876	391807.1129	0.0076	0.161816
Glauconycteris_variegata	Vespertilionidae	234	1.06	2051.666208	8802460.882	0.0111	0.404196
Glirulus_japonicus	Gliridae	NA	4	883.5172	211928.2213	0.027	0.305953
Glis_glis	Gliridae	92.75	4.73	1152.9402	3711721.263	0.125	0.671857
Globicephala_macrorhynchus	Delphinidae	NA	1	8650.5	232622286.6	726	1020.363598
Glossophaga_longirostris	Phyllostomidae	261.443396226415	1	2064.27635	1591418.306	0.0119	0.29525
Glossophaga_soricina	Phyllostomidae	243.727152317881	1	2064.27635	15039357.33	0.0094	0.41874
Gorilla_beringei	Hominidae	131.5	1	7300	66055.38649	130	16.435059
Gorilla_gorilla	Hominidae	247.666666666667	1.005	8030	704991.6862	120.95	26.333133
Gracilinanus_agilis	Didelphidae	233.12	11.5	642.840025	3650649.414	0.022	0.502873
Gracilinanus_emiliae	Didelphidae	NA	NA	684.5132021	176451.7055	0.0076	0.141907
Gracilinanus_microtarsus	Didelphidae	198.7	9.7	642.840025	637693.5006	0.031	0.420194
Gracilinanus_peruanus	NA	NA	NA	NA	NA	NA	NA
Grampus_griseus	Delphinidae	NA	1	7300	251298866	387.5	693.025698
Graomys_griseoflavus	Cricetidae	189.550847457627	7.01	589.3882991	2021607.648	0.0675	0.528256
Gulo_gulo	Mustelidae	-3.97185591645278	2.84	2622.30185	24230006.78	17.0126	219
Gymnuromys_roberti	Nesomyidae	197	1.94	604.575	78248.68509	0.0975	0.516138
Habromys_ixtlani	Cricetidae	121	1.9	589.3882991	93.17098038	0.0934	0.117657
Habromys_lepturus	Cricetidae	136	1.9	589.3882991	96.01240347	0.085	0.112178
Habromys_lophurus	Cricetidae	145.375	NA	589.3882991	25492.12263	0.04	0.242754
Halichoerus_grypus	Phocidae	NA	1	5110	3898857.047	157.667	158.151927
Handleyomys_alfaroi	Cricetidae	198.111111111111	3.735	589.3882991	848597.6817	0.0333	0.465705
Handleyomys_chapmani	Cricetidae	183	3.735	589.3882991	36651.84787	0.05	0.298485
Handleyomys_guerrerensis	NA	NA	NA	NA	NA	NA	NA
Handleyomys_melanotis	Cricetidae	241.333333333333	3.88	589.3882991	139846.2537	0.05	0.398564
Handleyomys_rostratus	Cricetidae	NA	3.88	589.3882991	564067.6907	0.0435	0.497184
Handleyomys_saturatior	Cricetidae	188.888888888889	3.735	589.3882991	109933.3645	0.0265	0.262685
Hapalemur_griseus	Lemuridae	199.4	1.2	3285	86592.92288	0.9	0.689879
Haplonycteris_fischeri	Pteropodidae	237.5	1	1350.0402	272315.6278	0.018	0.165149
Heimyscus_fumosus	Muridae	238.333333333333	NA	624.3996409	511509.6737	0.0143	0.256813
Heliophobius_argenteocinereus	Bathyergidae	211.5	2.53	967.375	2149524.326	0.181	0.307705
Hemiechinus_auritus	Erinaceidae	163.020408163265	4	940.3939	9132409.057	0.342	2.467757
Herpestes_brachyurus	Herpestidae	266.142857142857	3.49	1730.465	1289061.534	1.8535	5.136915
Herpestes_edwardsii	Herpestidae	NA	2.6	1585.89115	4352479.377	1.3242	5.506385
