species	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Aotus_trivirgatus	762149.155	0.9	2.369952
Aotus_vociferans	1030711.6	0.873	3.17521
Aotus_zonalis	156719.5608	0.9025	2.15494
Aplodontia_rufa	245571.2931	1.004	0.326
Apodemus_agrarius	11519253.24	0.0233	0.666118
Apodemus_alpicola	110729.1492	0.0281	0.272112
Apodemus_argenteus	367800.9164	0.021	0.298274
Apodemus_chevrieri	889690.7864	0.0329	0.467228
Apodemus_draco	1811341.586	0.0223	0.435629
Apodemus_epimelas	174465.5923	0.042	0.378194
Apodemus_flavicollis	6053722.333	0.039	0.637699
Apodemus_gurkha	1647.409379	0.0399	0.134175
Apodemus_hyrcanicus	48817.51488	0.0285	0.229865
Apodemus_latronum	540043.1813	0.0352	0.436096
Apodemus_mystacinus	806772.9385	0.0456	0.551883
Apodemus_pallipes	786912.9502	NA	NA
Apodemus_peninsulae	8895675.13	0.0329	0.76815
Apodemus_ponticus	348245.239	NA	NA
Apodemus_rusiges	113308.9335	NA	NA
Apodemus_semotus	36229.77248	0.0288	0.216831
Apodemus_speciosus	370018.2815	0.0338	0.392639
Apodemus_sylvaticus	5226542.221	0.0305	0.952446
Apodemus_uralensis	7216464.966	0.0171	0.504037
Apodemus_witherbyi	1585351.114	0.03	0.501957
Apomys_abrae	11720.18982	0.0566	0.250585
Apomys_aurorae	NA	NA	NA
Apomys_banahao	NA	NA	NA
Apomys_brownorum	NA	NA	NA
Apomys_camiguinensis	74.66142185	0.0398	0.068691
Apomys_datae	11720.18982	0.106	0.359409
Apomys_gracilirostris	578.2539944	0.0881	0.168746
Apomys_hylocetes	4456.534131	0.0451	0.178475
Apomys_insignis	96198.23029	0.0299	0.273562
Apomys_iridensis	NA	NA	NA
Apomys_littoralis	8001.943509	0.031	0.163259
Apomys_lubangensis	NA	NA	NA
Apomys_magnus	NA	NA	NA
Apomys_microdon	62666.68151	0.0351	0.273459
Apomys_minganensis	NA	NA	NA
Apomys_musculus	48331.17951	0.0212	0.223468
Apomys_sacobianus	343.256847	0.0824	0.145086
Apomys_sierrae	NA	NA	NA
Apomys_zambalensis	NA	NA	NA
Aproteles_bulmerae	48.79081282	0.6	0.177732
Arabitragus_jayakari	31843.99836	23	5.394852
Arborimus_albipes	77818.95407	0.023	0.144277
Arborimus_longicaudus	54138.29809	0.0218	0.129515
Arborimus_pomo	22054.24205	0.0325	0.133005
Archaeolemur_edwardsi	NA	26.5	6.633919
Archaeolemur_majori	NA	18	5.358171
Archboldomys_luzonensis	22.47797081	0.0354	0.052802
Archboldomys_maximus	NA	NA	NA
Arctictis_binturong	3089370.997	9.875	16.229475
Arctocebus_aureus	676479.0775	0.235	1.363526
Arctocebus_calabarensis	150402.9985	0.21	0.923809
Arctocephalus_australis	2029474.746	45	61.357328
Arctocephalus_forsteri	11940004.35	101.25	151.497726
Arctocephalus_galapagoensis	115770.5296	27	23.807223
Arctocephalus_gazella	17467102.78	97.5	160.526527
Arctocephalus_philippii	3824179.645	95	113.723703
Arctocephalus_pusillus	1180312.256	178.5	132.330741
Arctocephalus_townsendi	1314580	105	96.305156
Arctocephalus_tropicalis	13418582.93	84	137.790526
Arctodus_simus	NA	720	97.115398
Arctogalidia_trivirgata	2570173.738	2.25	6.665131
Arctonyx_collaris	2106537.193	6.356	11.598465
Ardops_nichollsi	4797.85422	0.0172	0.067333
Arielulus_aureocollaris	2528.555546	0.0145	0.082492
Arielulus_circumdatus	171777.8802	0.0104	0.165671
Arielulus_cuprosus	108.2643566	0.0055	0.022405
Arielulus_societatis	12442.04268	0.0049	0.057944
Arielulus_torquatus	36229.77248	0.0063	0.08578
Ariteus_flavescens	11140.9566	0.0119	0.101133
Artibeus_amplus	1663377.578	0.06	0.755461
Artibeus_concolor	6522858.049	0.0194	0.530261
Artibeus_fimbriatus	1497990.273	0.0639	0.765794
Artibeus_fraterculus	306041.96	0.0395	0.412189
Artibeus_hirsutus	230997.6422	0.0387	0.38336
Artibeus_inopinatus	41914.512	0.0293	0.225989
Artibeus_jamaicensis	1954670.022	0.0422	0.638983
Artibeus_lituratus	14409764.93	0.0605	1.209912
Artibeus_obscurus	11261553.13	0.0352	0.840293
Artibeus_planirostris	11096175.07	0.047	0.989044
Arvicanthis_abyssinicus	299778.5194	0.0771	0.376487
Arvicanthis_ansorgei	653140.0565	NA	NA
Arvicanthis_blicki	18128.37677	0.128	0.271782
Arvicanthis_nairobae	153173.5896	0.104	0.384198
Arvicanthis_neumanni	1234475.415	NA	NA
Arvicanthis_niloticus	6259921.634	0.1069	0.869155
Arvicanthis_rufinus	1169176.691	0.1441	0.713449
Arvicola_amphibius	15720735.1	0.225	1.599262
Arvicola_sapidus	883166.8	0.22	0.848252
Arvicola_scherman	830339.1333	0.0975	0.534055
Asellia_arabica	NA	NA	NA
Asellia_patrizii	230148.5525	0.006	0.123921
Asellia_tridens	17077701.35	0.0119	0.487716
Aselliscus_stoliczkanus	1375477.484	0.0049	0.160056
Aselliscus_tricuspidatus	278288.1419	0.0041	0.101081
Atelerix_albiventris	7118158.682	0.6	3.88481
Atelerix_algirus	738152.5729	1.25	3.631427
Atelerix_frontalis	1057573.131	0.3095	1.759182
Atelerix_sclateri	313002.4067	0.4365	1.648048
