Source	ID	MasterTax_Order	MasterTax_Family	MasterTax_SciName	matched_name	matching_source	NCBI_SciName	NCBI_Rank	NCBI_ID
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	_Matched-manually-to-NCBI	MSW3	Neotoma_ferruginea_vulcani	Subspecies	1453881
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	Neotoma_mexicana	MSW3	Neotoma_isthmica	Species	316116
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	_Matched-manually-to-NCBI	MSW3	Neotoma_mexicana_distincta	Subspecies	1457256
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	_Matched-manually-to-NCBI	MSW3	Neotoma_mexicana_tenicauda	Subspecies	1453882
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	Neotoma_mexicana	MSW3	Neotoma_picta	Species	316115
IUCN	14591	RODENTIA	CRICETIDAE	Neotoma_micropus	Neotoma_micropus	IUCN	Neotoma_micropus	Species	105150
IUCN	14592	RODENTIA	CRICETIDAE	Neotoma_nelsoni	0	0	0	0	0
IUCN	14593	RODENTIA	CRICETIDAE	Neotoma_palatina	0	0	0	0	0
IUCN	14594	RODENTIA	CRICETIDAE	Neotoma_phenax	0	0	0	0	0
IUCN	42651	RODENTIA	CRICETIDAE	Neotoma_stephensi	Neotoma_stephensi	IUCN	Neotoma_stephensi	Species	164611
IUCN	14600	RODENTIA	CRICETIDAE	Neotomodon_alstoni	Neotomodon_alstoni	IUCN	Neotomodon_alstoni	Species	230081
IUCN	14601	RODENTIA	CRICETIDAE	Neotomys_ebriosus	Neotomys_ebriosus	IUCN	Neotomys_ebriosus	Species	1007658
IUCN	14603	CETARTIODACTYLA	BOVIDAE	Neotragus_batesi	Neotragus_batesi	IUCN	Neotragus_batesi	Species	1088033
IUCN	14602	CETARTIODACTYLA	BOVIDAE	Neotragus_pygmaeus	Neotragus_pygmaeus	IUCN	Neotragus_pygmaeus	Species	1027985
IUCN	40784	CARNIVORA	MUSTELIDAE	Neovison_macrodon	0	IUCN_EX	0	0	0
IUCN	41661	CARNIVORA	MUSTELIDAE	Neovison_vison	Neovison_vison	IUCN	Neovison_vison	Species	452646
IUCN	15584	RODENTIA	CRICETIDAE	Nephelomys_albigularis	Nephelomys_albigularis	IUCN	Nephelomys_albigularis	Species	530178
IUCN	15586	RODENTIA	CRICETIDAE	Nephelomys_auriventer	0	0	0	0	0
IUCN	136833	RODENTIA	CRICETIDAE	Nephelomys_caracolus	0	0	0	0	0
IUCN	15593	RODENTIA	CRICETIDAE	Nephelomys_devius	0	0	0	0	0
IUCN	15600	RODENTIA	CRICETIDAE	Nephelomys_keaysi	Nephelomys_keaysi	IUCN	Nephelomys_keaysi	Species	511843
IUCN	15604	RODENTIA	CRICETIDAE	Nephelomys_levipes	Nephelomys_levipes	IUCN	Nephelomys_levipes	Species	1157042
IUCN	136328	RODENTIA	CRICETIDAE	Nephelomys_meridensis	0	0	0	0	0
IUCN	14660	RODENTIA	MURIDAE	Nesokia_bunnii	0	0	0	0	0
IUCN	14661	RODENTIA	MURIDAE	Nesokia_indica	Nesokia_indica	IUCN	Nesokia_indica	Species	51373
IUCN	14662	LAGOMORPHA	LEPORIDAE	Nesolagus_netscheri	0	0	0	0	0
IUCN	41209	LAGOMORPHA	LEPORIDAE	Nesolagus_timminsi	_Matched-manually-to-NCBI	IUCN	Nesolagus_timinsi	Species	235651
IUCN	136475	RODENTIA	NESOMYIDAE	Nesomys_audeberti	Nesomys_audeberti	IUCN	Nesomys_audeberti	Species	107267
IUCN	136330	RODENTIA	NESOMYIDAE	Nesomys_lambertoni	0	0	0	0	0
IUCN	14671	RODENTIA	NESOMYIDAE	Nesomys_rufus	Nesomys_rufus	IUCN	Nesomys_rufus	Species	52812
