tiplabel	gen	fam	ord	clade	higher	genes	samp	PC	Source_upham	ID_upham	extinct?	newSinceMSW3?	IFnew_Category	IFnew_GeoRegion	IFnew_Citation
Aethomys_ineptus_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	44990	0	0	NA	NA	NA
Aethomys_kaiseri_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	572	0	0	NA	NA	NA
Aethomys_namaquensis_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	4	sampled	PC11_Muridae	IUCN	573	0	0	NA	NA	NA
Aethomys_nyikae_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	574	0	0	NA	NA	NA
Aethomys_silindensis_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	567	0	0	NA	NA	NA
Aethomys_stannarius_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	575	0	0	NA	NA	NA
Aethomys_thomasi_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	576	0	0	NA	NA	NA
Ailuropoda_melanoleuca_URSIDAE_CARNIVORA	Ailuropoda	URSIDAE	CARNIVORA	Caniformes	Laurasiatheria	30	sampled	PC22_Carnivora	IUCN	712	0	0	NA	NA	NA
Ailurops_melanotis_PHALANGERIDAE_DIPROTODONTIA	Ailurops	PHALANGERIDAE	DIPROTODONTIA	Diprodontia	Marsupialia	0	imputed	PC1_Marsupials	IUCN	136218	0	0	NA	NA	NA
Ailurops_ursinus_PHALANGERIDAE_DIPROTODONTIA	Ailurops	PHALANGERIDAE	DIPROTODONTIA	Diprodontia	Marsupialia	9	sampled	PC1_Marsupials	IUCN	40637	0	0	NA	NA	NA
Ailurus_fulgens_AILURIDAE_CARNIVORA	Ailurus	AILURIDAE	CARNIVORA	Caniformes	Laurasiatheria	25	sampled	PC22_Carnivora	IUCN	714	0	0	NA	NA	NA
Akodon_aerosus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	5	sampled	PC12_Cricetidae	IUCN	723	0	0	NA	NA	NA
Akodon_affinis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	724	0	0	NA	NA	NA
Akodon_albiventer_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	725	0	0	NA	NA	NA
Akodon_aliquantulus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	136432	0	0	NA	NA	NA
Akodon_azarae_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	726	0	0	NA	NA	NA
Akodon_bogotensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	727	0	0	NA	NA	NA
Akodon_boliviensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	5	sampled	PC12_Cricetidae	IUCN	728	0	0	NA	NA	NA
Akodon_budini_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	729	0	0	NA	NA	NA
Akodon_cursor_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	5	sampled	PC12_Cricetidae	IUCN	730	0	0	NA	NA	NA
Akodon_dayi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	731	0	0	NA	NA	NA
Akodon_dolores_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	3	sampled	PC12_Cricetidae	IUCN	732	0	0	NA	NA	NA
Akodon_fumeus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	733	0	0	NA	NA	NA
Akodon_iniscatus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	3	sampled	PC12_Cricetidae	IUCN	736	0	0	NA	NA	NA
Akodon_josemariarguedasi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	newSp	100000005	0	1	deNovo	Peru	"JimÃ©nez,__C.F.,__Pacheco,__V.__&__Vivas,__D.__2013.__An__introduction__to__the__systematics__of__Akodon__orophilus__Osgood,__1913__(Rodentia:__Cricetidae)__with__the__description__of__a__new__species.__Zootaxa__3669__(3):__223â€“242."
