sigma	alpha	epsilon	lambda_0	treeN
0.167141337494082	1.00348759542357	0.083321104013795	0.0380027249403478	tree40
0.176145164333456	0.99710691202658	0.0422021814013631	0.0337789281506921	tree41
0.147041977980848	1.00523981226919	0.079374182344058	0.0313504390644775	tree42
0.162687357400691	0.997326061886727	0.0874212141102487	0.035809748709823	tree43
0.168773079505897	1.00998032178325	0.0857383208164211	0.0363454161509022	tree44
0.152298374018631	1.0103223028096	0.0830536293424114	0.0307694745048305	tree45
0.144685504109528	1.00484869835395	0.0780909407864987	0.0394613736718037	tree46
0.16167493495644	1.00198086222016	0.0402012929835573	0.032081633049702	tree47
0.152199480883562	1.00976125630118	0.0821773201934786	0.0318213221218591	tree48
0.16399848289841	1.00000768914692	0.0730729916387874	0.0346073975978865	tree49
0.174569122557933	0.99455701195428	0.0737977650310515	0.0343736079763936	tree4
0.159827729865924	1.00389426383247	0.0792946807973545	0.0366641148356533	tree50
0.157961534545212	1.00268010455282	0.071031776868131	0.0379374605250721	tree51
0.159146206399669	1.00582078466156	0.0836852544677044	0.0261295925436958	tree52
0.165612295189771	0.996030670533373	0.0898558462328495	0.033817203608739	tree53
0.16850954884296	1.00262183624127	0.0504349169765323	0.0323774554961564	tree54
0.155748927710427	1.00285997308397	0.104970731047848	0.0384752614341022	tree55
0.150985731218782	1.01040984403953	0.111071026635088	0.0319371660110063	tree56
0.16074742417693	1.00368518438797	0.100900026470192	0.0380661069342233	tree57
0.155305229156459	1.0010269154626	0.0556502200466981	0.0340310965823472	tree58
0.160981980480408	1.0021627815391	0.101738842202474	0.0382746522915925	tree59
0.162276112226539	1.00606811473213	0.0795758680044046	0.0369831285357195	tree5
0.153956743483179	1.002852299277	0.0735378773630853	0.0341314500328889	tree60
0.159544275259783	1.00487945188138	0.0770647203076863	0.0398689516307883	tree61
0.15041012816219	1.01507299332628	0.0860254156208968	0.0324111184736837	tree62
0.163676751547711	0.998320290294867	0.0576394314008647	0.0326556936433154	tree63
0.161122346217767	0.998874793226793	0.0874527702685983	0.0383808572767639	tree64
0.168299072864974	1.00113577491635	0.0777768771839522	0.0347071880541885	tree65
0.160746778459125	1.00513607758051	0.0320405500752244	0.0323733042277546	tree66
0.156705631734132	1.00473214546193	0.0836588575743852	0.0356604733285814	tree67
0.157401995010503	1.00605785028315	0.073941688058146	0.0275909657511506	tree68
0.156598517935199	1.00559456594991	0.0889073360358677	0.0269812232843364	tree69
0.183968575007103	0.99078641118487	0.0383072321799975	0.0327718369022439	tree6
0.157586832249415	1.00778680469062	0.0672183615637564	0.0273921349617633	tree70
0.160542740590125	1.00112332993217	0.0957359756654619	0.0350235914734693	tree71
0.157100105368049	1.00184945169377	0.0598554310601712	0.0361018649285591	tree72
0.165040981392849	1.0008733790611	0.0740299582752091	0.0325340364227292	tree73
0.166300449633948	0.999540364365907	0.113628788009324	0.0353264122808995	tree74
0.165597219341847	1.00376570099215	0.0733052159300704	0.0317758415416756	tree75
0.161350746833286	1.00362259609157	0.0496740769288614	0.0293767073720375	tree76
0.163940048077378	1.00512783238618	0.113573519059299	0.0298587008020922	tree77
0.164106422362828	1.00308311798392	0.0824060510305452	0.0307239336607817	tree78
0.158388148528061	0.999837567946604	0.0803661255796975	0.0389858971423071	tree79
0.161045034836316	1.00127661569231	0.109504703818839	0.0368795143378867	tree7
0.175744406337578	0.995768342589922	0.0922618639664894	0.031047733505315	tree80
0.163936043924368	0.998500370636492	0.0787331827350764	0.0331413762311061	tree81
0.143960492872659	1.00794425329552	0.0675715540918875	0.0315324894613379	tree82
0.165285423898524	0.997197661650651	0.0788307405821759	0.0443499833175535	tree83
0.164321997663753	0.999173147361071	0.0708431198244708	0.0337366807308802	tree84
0.167595498112396	1.00288837325831	0.0949762054191065	0.0319117389811119	tree85
0.151144101243696	1.00465879063264	0.090902005287462	0.0376655362580477	tree86
0.165221749797289	1.00802169581652	0.0784121827455186	0.0339545962363067	tree87
0.165875743480913	1.00432352659779	0.047682912465646	0.0323690730028576	tree88
0.167307626009981	1.00095261375727	0.0723829506408457	0.0353181812485793	tree89
0.16653418491942	1.00324012880447	0.0674985636840756	0.0390376395648041	tree8
0.161981051463907	1.00073691529927	0.0588110041099049	0.0375532823020056	tree90
0.166786271053471	0.988876723462589	0.0391605062533969	0.0327063552204124	tree91
0.158945963568468	1.00650785210732	0.0749517809887957	0.035278739666814	tree92
0.150310392978848	1.01137151859386	0.090314525528382	0.0361209380969618	tree93
0.179464591655749	0.984093088127484	0.0655648505931662	0.0358830186469258	tree94
0.167457697508266	1.00003560596207	0.0886730511928435	0.0410100886885869	tree95
0.166591682988123	1.00124243828458	0.0813762166658284	0.0327327671229445	tree96
0.152180593547662	1.0088335107679	0.0650294975507467	0.0344424226974501	tree97
0.157597754963915	1.00411361904218	0.084197762396327	0.0418388312848539	tree98
0.145000582507904	1.00492513535534	0.0635175355054556	0.0386113248388749	tree99
0.16735571976358	1.0010893722211	0.0654336258157033	0.0340681707701791	tree9
