species frame Nind size S EstPi_ferretti EstTheta_ferretti
Apodemus_alpicola 2 8 380 1 0.000657894736842105 0.00122629169391759
Apodemus_alpicola 3 8 379 21 0.0240294006784772 0.0258342681901659
Apodemus_argenteus 1 180 380 35 0.00447729004349738 0.0163173904206184
Apodemus_argenteus 2 180 380 9 0.000334504409036376 0.00419592691876027
Apodemus_argenteus 3 180 380 143 0.0299290898775653 0.0666684429569164
Apodemus_chevrieri 1 78 380 24 0.00974512932329555 0.0131603781006388
Apodemus_chevrieri 2 78 380 11 0.001686624078477 0.00603183996279281
Apodemus_chevrieri 3 78 380 123 0.0735897911079662 0.0674715536412313
Apodemus_draco 1 357 380 68 0.0152492105827948 0.0279405452244807
Apodemus_draco 2 357 380 23 0.00238117486884095 0.0094505460693018
Apodemus_draco 3 357 380 272 0.150590773798121 0.111780948030723
Apodemus_flavicollis 1 331 380 53 0.00840327877382402 0.0243302456381555
Apodemus_flavicollis 2 331 380 27 0.00263043972070182 0.0123947357629445
Apodemus_flavicollis 3 331 380 171 0.0428801967331628 0.0785504783625173
Apodemus_latronum 1 114 380 52 0.0140679110585639 0.0261273251952096
Apodemus_latronum 2 114 380 24 0.00375041879481572 0.0120586877968873
Apodemus_latronum 3 114 380 191 0.0746482894740783 0.0960892329148243
Apodemus_mystacinus 1 55 381 86 0.0547037049661722 0.0562227827928889
Apodemus_mystacinus 2 55 380 19 0.00935140882509304 0.0124069339173165
Apodemus_mystacinus 3 55 380 6 0.00310650363281942 0.00391942470227137
Apodemus_pallipes 1 10 370 13 0.0146460746460746 0.0133416739158057
Apodemus_pallipes 2 10 370 1 0.00054054054054054 0.00102628260890813
Apodemus_pallipes 3 10 369 59 0.0668387318793823 0.0607033058559826
Apodemus_peninsulae 1 169 380 59 0.00809732526435568 0.0279357881105088
Apodemus_peninsulae 2 169 380 25 0.00255323189740174 0.0118379111200636
Apodemus_peninsulae 3 169 379 218 0.0623768576804928 0.103496518426219
Apodemus_ponticus 1 9 363 1 0.000612182430364249 0.001400471492069
Apodemus_ponticus 2 9 363 2 0.00321395775941231 0.00280572836207257
Apodemus_ponticus 3 9 363 21 0.0332108968472605 0.0294601478017619
Apodemus_speciosus 1 349 380 43 0.00711002554415423 0.0183749175763881
Apodemus_speciosus 2 349 380 8 0.00124417540275917 0.0034189380235825
Apodemus_speciosus 3 349 380 184 0.0437346437013627 0.0786360189314021
