species	check
Crocidura_zaitsevi	inFrame1
Crocuta_crocuta	inFrame1
Crossarchus_alexandri	inFrame1
Crossarchus_obscurus	inFrame1
Crossarchus_platycephalus	inFrame1
Cryptomys_hottentotus	inFrame1
Cryptonanus_chacoensis	inFrame1
Cryptonanus_unduaviensis	inFrame1
Cryptoprocta_ferox	inFrame1
Cryptotis_mexicana	inFrame1
Cryptotis_nelsoni	inFrame1
Cryptotis_parva	inFrame1
Ctenomys_boliviensis	inFrame1
Ctenomys_dorbignyi	inFrame1
Ctenomys_haigi	inFrame1
Ctenomys_latro	inFrame1
Ctenomys_mendocinus	inFrame1
Ctenomys_minutus	inFrame1
Ctenomys_opimus	inFrame1
Ctenomys_pearsoni	inFrame1
Ctenomys_perrensi	inFrame1
Ctenomys_porteousi	inFrame1
Ctenomys_rionegrensis	inFrame1
Ctenomys_roigi	inFrame1
Ctenomys_sociabilis	inFrame1
Ctenomys_talarum	inFrame1
Ctenomys_torquatus	inFrame1
Ctenomys_tuconax	inFrame1
Ctenomys_tucumanus	inFrame1
Cuon_alpinus	inFrame1
Cyclopes_didactylus	inFrame1
Cynomops_abrasus	inFrame1
Cynomops_paranus	inFrame1
Cynomops_planirostris	inFrame1
Cynomys_ludovicianus	inFrame1
Cynomys_mexicanus	inFrame1
Cynopterus_brachyotis	inFrame1
Cynopterus_horsfieldii	inFrame1
Cynopterus_sphinx	inFrame1
Cystophora_cristata	inFrame1
Dacnomys_millardi	inFrame1
Dama_dama	inFrame1
Damaliscus_pygargus	inFrame1
Dasyprocta_leporina	inFrame1
Dasypus_novemcinctus	inFrame1
Dasyurus_hallucatus	inFrame1
Dasyurus_maculatus	inFrame1
Dasyurus_viverrinus	inFrame1
Daubentonia_madagascariensis	inFrame1
Delomys_sublineatus	inFrame1
Delphinapterus_leucas	inFrame1
Delphinus_capensis	inFrame1
Delphinus_delphis	inFrame1
Deltamys_kempi	inFrame1
Dendrolagus_dorianus	inFrame1
Dendrolagus_goodfellowi	inFrame1
Dendrolagus_inustus	inFrame1
Dendrolagus_lumholtzi	inFrame1
Dendrolagus_matschiei	inFrame1
Dendromus_melanotis	inFrame1
Dendromus_mystacalis	inFrame1
Dermanura_phaeotis	inFrame1
Dermanura_watsoni	inFrame1
Desmodus_rotundus	inFrame1
Dicerorhinus_sumatrensis	inFrame1
Dicrostonyx_groenlandicus	inFrame1
Dicrostonyx_hudsonius	inFrame1
Dicrostonyx_richardsoni	inFrame1
Dicrostonyx_torquatus	inFrame1
Didelphis_albiventris	inFrame1
Didelphis_aurita	inFrame1
Didelphis_marsupialis	inFrame1
Didelphis_virginiana	inFrame1
Diphylla_ecaudata	inFrame1
Dipodomys_agilis	inFrame1
Dipodomys_elator	inFrame1
Dipodomys_heermanni	inFrame1
Dipodomys_merriami	inFrame1
Dipodomys_nelsoni	inFrame1
Dipodomys_ordii	inFrame1
Dipodomys_panamintinus	inFrame1
Dipodomys_phillipsii	inFrame1
Dipodomys_simulans	inFrame1
Dipus_sagitta	inFrame1
Dorcopsulus_vanheurni	inFrame1
Dremomys_pernyi	inFrame1
Dremomys_rufigenis	inFrame1
Dryomys_nitedula	inFrame1
Echimys_chrysurus	inFrame1
Echinosorex_gymnura	inFrame1
Ectophylla_alba	inFrame1
Eidolon_dupreanum	inFrame1
Eidolon_helvum	inFrame1
Elaphodus_cephalophus	inFrame1
Elaphurus_davidianus	inFrame1
Elephas_maximus	inFrame1
Eligmodontia_bolsonensis	inFrame1
Eligmodontia_hirtipes	inFrame1
Eligmodontia_moreni	inFrame1
Eligmodontia_morgani	inFrame1
Eligmodontia_puerulus	inFrame1
Eligmodontia_typus	inFrame1
Eliomys_melanurus	notInFrame123
Eliomys_quercinus	notInFrame123
Eliurus_antsingy	inFrame1
Eliurus_carletoni	inFrame1
Eliurus_ellermani	inFrame1
Eliurus_majori	inFrame1
Eliurus_minor	inFrame1
Eliurus_myoxinus	inFrame1
Eliurus_tanala	inFrame1
Eliurus_webbi	inFrame1
Ellobius_talpinus	inFrame1
Ellobius_tancrei	inFrame1
Emballonura_atrata	inFrame1
Emballonura_raffrayana	inFrame1
Emballonura_semicaudata	inFrame1
Emballonura_tiavato	inFrame1
Eonycteris_spelaea	inFrame1
Eospalax_fontanierii	inFrame1
Eospalax_smithii	inFrame1
Eothenomys_cachinus	inFrame1
Eothenomys_chinensis	inFrame1
Eothenomys_custos	inFrame1
Eothenomys_melanogaster	inFrame1
Eothenomys_miletus	inFrame1
Eothenomys_olitor	inFrame1
Eothenomys_proditor	inFrame1
Eozapus_setchuanus	inFrame1
Episoriculus_caudatus	inFrame1
Episoriculus_fumidus	inFrame1
Episoriculus_leucops	inFrame1
Episoriculus_macrurus	inFrame1
Epomophorus_gambianus	inFrame1
Epomops_franqueti	inFrame1
Eptesicus_bottae	inFrame1
Eptesicus_fuscus	inFrame1
Eptesicus_gobiensis	inFrame1
Eptesicus_isabellinus	inFrame1
Eptesicus_nasutus	inFrame1
Eptesicus_nilssonii	inFrame1
Eptesicus_serotinus	inFrame1
Equus_africanus	inFrame1
